-35:17:28|||Counting down to launch
-02:35:00|P|PAO|This is Apollo Saturn Launch Control; T-minus 2 hours, 34 minutes, 57 seconds and counting. At this time the spacecraft Commander, Jim Lovell is aboard the spacecraft, which they have decided to call "Odyssey". Lovell made a communications check just moments ago, asked if he could hear he said, "I can read you loud and clear." He actually entered the spacecraft at 11:32. We have Haise just finishing entering the spacecraft. He moved into the spacecraft at 11:38 and will now be moving over into the right-hand seat. Before entering the spacecraft, the men removed their protective covers which are over their boots. They've been wearing those since they donned their spacesuits this morning. After they move into the couch they get a communications check and hook up to the oxygen, check that out, and then the portable oxygen ventilator is handed out of the spacecraft. As they entered, the Backup Pilot, Vance Brand is at the rear of the spacecraft, assisting them as they get in ...
-02:31:00|P|PAO|This is Apollo Saturn Launch Control; T-minus 2 hours, 30 minutes, 58 seconds and counting. The pad leader indicated that he was now ready for the Command Module Pilot, Jack Swigert to come aboard and, in fact Swigert has now walked across the swingarm with a suit technician and is in the white room area preparing to ingress the spacecraft. Now with Swigert and the suit technician there we have a total of 9 men, including the three astronauts and 6 of the close-out crew in the white room area. This is the maximum that we'll have in there during this close-out period. Now T-minus 2 hours, 30 minutes, 26 seconds and counting, this is Kennedy Launch Control.
-02:28:56|P|PAO|This is Apollo Saturn Launch Control; T-minus 2 hours, 28 minutes, 54 seconds and counting. And the last of the three astronauts, the Command Module Pilot, Jack Swigert has now gone aboard the spacecraft. We logged him going over the sil at 11:44am EST. Communications check has been established now with both, the spacecraft Commander, Jim Lovell, and the Lunar Module Pilot, Fred Haise. Now T-Minus 2 hours, 28 minutes, 29 seconds and counting, this is Kennedy Launch Control.
-02:19:59|P|PAO|This is Apollo Saturn Launch Control; T-minus 2 hours, 19 minutes, 57 seconds and counting. At this time, the spacecraft test conductor is going over some switch check positions with the crew inside the spacecraft. Verifying that when they go into the spacecraft they didn't inadvertently trip some of these switches and get them into the wrong position. We have relatively clear skies at Kennedy Space Center at this time, however within the next couple of hours by our 2:13pm EST launch time we're expecting to have some clouds moving in but we do not expect them to be any kind of a problem for our launch today. Earlier worries about rain have disappeared at this time, we're not expecting any rain. The temperatures are expected to be about 80 degrees fahrenheit, winds 12 knots from the southeast. Now T-Minus 2 hours, 19 minutes, 9 seconds and counting, this is Kennedy Launch Control.
-02:15:32|P|PAO|This is Apollo Saturn Launch Control; T-minus 2 hours, 15 minutes, 30 seconds and counting. At this time, the spacecraft test conductor, Skip Chauvin just called to the pad leader indicating that the checkouts have been complete. Once they get Vance Brand, the backup pilot out - and he appears to be coming out at this time. They are cleared to begin closing the hatch - begin closing the hatch on the Command Module called "Odyssey". Our countdown moving ... ahead of schedule at this time. At 2 hours, 15 minutes, 5 seconds and counting, this is Kennedy Launch Control.
-02:12:26|P|PAO|This is Apollo Saturn Launch Control. We're T-minus 2 hours, 12 minutes, 23 seconds and counting. At this time, Vance Brand, the backup pilot is out and the pad leader has just received permission to begin closing the hatch. As they close the hatch they will begin to purge the cabin which has been - being fed with fresh air from a large hose in the white room. They'll purge the cabin and bring aboard pressurization with a 60/40 mixture of oxygen and nitrogen. The crew inside will continue, of course, to breath from their oxygen system aboard the spacecraft. Now T-minus 2 hours, 11 minutes, 49 seconds and counting, this is Kennedy Launch Control.
-01:29:59|P|PAO|This is Apollo Saturn Launch Control; we're at T-minus 1 hour, 29 minutes, 57 seconds and counting. Finishing up at this time is the checks of the Emergency Detection System. Skip Chauvin, the Test Supervisor, now also making some - he's Spacecraft Test Supervisor - making some checks with the various members of the team - launch crew inside the spacecraft. The Boost Protective Cover has now come closed. This is the cover which will protect the spacecraft hatch both from the jettison of the Launch Escape System and also as it develops some friction as it goes up through the heavy Earth's atmosphere. The (close-out) crew now, as they prepare the Boost Protective Cover, will also be going around the White Room doing what's called 'breaking up the White Room' or generally preparing it for retraction. Once the close-out crew departs the White Room area, that White Room will be retracted to a stand-by position. It will remain in that stand-by position down through the countdown to the T minus 5-minute mark, at which time it will come back to the fully retract position. Now T minus 1 hour, 28 minutes, 52 seconds and counting; this is Kennedy Launch Control.
-01:19:59|P|PAO|This is Apollo Saturn Launch Control; T minus 1 hour, 19 minutes, 58 seconds and counting. At this time, the close-out crew has reported from the White Room that they are in the last stages of clearing out the White Room and making it ready for its retract position. Also going on at this time are some computer checks with the launch vehicle. These computer checks will be run continuously throughout the final portion of the countdown to ensure that the ground computers are communicating properly with the computers aboard the space vehicle. The launch crew had been having some problems with a vent valve in the first stage of the liquid oxygen tank. As mentioned earlier, the liquid oxygen as it does boil off, is vented to the atmosphere. One of these vent valves appeared to be sticking; that problem now does appear to be solved as it has been brought closed. Now at T minus 1 hour, 19 minutes, 8 seconds and counting; this is Kennedy Launch Control.
-01:10:00|P|PAO|This is Apollo Saturn Launch Control; T minus 1 hour, 9 minutes, 59 seconds and counting. At this time in the Command Module Odyssey, the three crewmen; spacecraft commander Jim Lovell, Command Module Pilot Jack Swigert, and Lunar Module Pilot Fred Haise; are very busy. The spacecraft commander and Command Module Pilot are configuring the Stabilization and Control System for lift-off and aligning that system with the guidance platform aboard the spacecraft. Also going on at this time is a check of the large propulsion system engine below the Service Module. This engine can be gimbaled in response to commands. This is done in two ways and these systems are being checked out at this time. There is a thumbwheel control which can set the engine to a preset position for certain maneuvers and also a Rotational Hand Controller which can be used for the actual flight of a maneuver. These checks are being made now, the engine being gimbaled with spacecraft commander Jim Lovell indicating the position that he is putting these to and readouts are being made to ensure that the engine is gimbaling a proper response. Also at this time a final checkout by the crew of the Entry Monitoring System, also a final setting of this system. Our countdown proceeding well at this time; T minus 1 hour, 8 minutes, 40 seconds; this is Kennedy Launch Control.
-01:00:00|P|PAO|This is Apollo Saturn Launch Control. We're just passing the 1-hour mark in our countdown. Now in the final hour of the countdown toward the launch of Apollo 13. The close-out crew has now left the White Room area, and will be standing by for the retraction to the 12-degree position of swing arm number 9. We've received word from the distinguished guest site that the stands over there are near capacity with some 4,500 guests in the area. The Vice President of the United States, Spiro Agnew, and Chancellor Willie Brandt, his special guest, have arrived in the area although they are not at the stands yet. Out on the causeway, at a guest site, we have 7,000. This is the largest guest number that we have ever had on our causeway site. To recap our countdown, which has gone - proceeded very well today - we resumed the count after a 9-hour and 13-minute built-in hold at 4:13 am this morning. At that time the cryogenic loading began. This is loading aboard, the extremely cold liquid oxygen and liquid hydrogen. Liquid hydrogen is the fuel for the second and third stage. Liquid oxygen, the oxidizer used on all three stages. RP-1 or rocket propellant number 1 is the fuel used in the first stage. It is a kerosene-type fuel and was loaded before the countdown demonstration test back in mid-March. The cryogenic loading went well. There is over 800,000 gallons of cryogenics loaded aboard the Saturn V vehicle at this time. We entered a 1-hour built-in hold. This is a planned hold at the T-minus 3-hour and 30-minute mark. The crew was alerted this morning shortly before 9:00 am by Colonel Tom Stafford, Chief of the Astronaut Office. They then proceeded for a short but brief medical examination by Dr. John Teegen and Dr. Alan Harter. They were pronounced in good shape and ready for their flight. They then had the traditional breakfast of steak and eggs, tenderloin steak, eggs, orange juice, coffee, jelly and toast. After a brief mission briefing, they donned their space suits and took the 8-mile trip in a transfer van to the pad area. They have now been in the spacecraft going through a variety of tests and checks, going over all their switch lists and so on. Our weather at this time is better than had been predicted earlier. We're still looking for some clouds to move into the area and will be expecting a temperature of approximately 80 degrees at our launch time. We continue counting down toward a launch time of 2:13 pm EST. Now at T-minus 57 minutes, 15 seconds and counting; this is Kennedy Launch Control.
-00:55:00|P|PAO|This is Apollo Saturn Launch Control; T minus 55 minutes and counting, T minus 55 minutes and counting and the countdown continues to go well here at the Kennedy Space Center. The close-out crew has now left the White Room. We're standing by for the retraction of the swing arm, swing arm number 9. That's actually scheduled to come at the 43-minute mark in the countdown. However, the close-out crew did leave somewhat early so that event could come a little bit earlier than scheduled. Now we'll go to the Manned Spacecraft Center in Houston, Texas for a status.
-00:54:27|P|PAO|This is Mission Control, Houston. At the present time the flight controllers here in Mission Control are monitoring the countdown and the status of the crew, the launch vehicle, and the spacecraft. The world-wide manned space flight network is up and ready to support the launch. We do have a problem with the Vanguard tracking ship downrange in the mid-Atlantic. A tracking data processor, we understand, is down on the Vanguard and we will not get high speed radar tracking unless this problem is cleared up. The Vanguard is a desirable element of the tracking network, but is not essential, and we're Go to continue the launch with that problem. Just a few minutes ago, Ken Mattingly, who until a few days ago was the prime Command Module Pilot for Apollo 13, arrived in Mission Control, Ken will be assisting at the CapCom console and he's joined astronaut John Young and astronaut Joe Kerwin on the CapCom console. As he arrived in Mission Control, Flight Director Milton Windler greeted him and said, 'Sorry to see you here, Ken.' This is Mission Control, Houston at T minus 53 minutes and 20 seconds.
-00:50:00|P|PAO|This is Apollo Saturn Launch Control; T minus 49 minutes, 58 seconds and counting. At this time we're making some preparations for range safety command system checks. These checks are the system aboard the launch vehicle which could be used by the range safety officers to destroy the vehicle should it stray off path - off its intended course. These destruct actions, of course, would not be taken until the astronaut crew had been advised and were safely away from the vehicle. We're also standing by to wait for swing arm 9 to retract. That should be happening within the next 5 or 10 minutes. The countdown continuing to move along nicely in the last hour. Now T minus 49 minutes, 20 seconds and counting; this is Kennedy Launch Control.
-00:45:00|P|PAO|This is Apollo Saturn Launch Control; T minus 45 minutes and counting, T minus 45 minutes and counting. Steps are now underway for moving the swing arm back to the 12-degree or park position. Launch site recovery forces have called in at this point and have indicated they're on station and ready to support the launch of Apollo 13. The prime crew, inside the spacecraft at this time, left the Manned Spacecraft Operations Building at Kennedy Space Center at 11:07 am Eastern Strandard Time this morning on their way out to the pad. They took the 8-mile trip in the transfer van, went up to the White Room level where spacecraft commander Jim Lovell was the first one to board the spacecraft at 11:32 am. He was followed by the Lunar Module Pilot who moved in; Fred Haise moved into the right-hand seat at 11:32. The Command Module Pilot, stood by in the elevator with a suit technician, was the last one to come aboard. He came aboard at 11:44 am Eastern Strandard Time. We are now standing by for retraction of the White Room. That should occur in approximately 47 seconds. When it comes back, it will come back to a 12-degree or standby position. From this position, it can be quickly brought back to the Command Module if there is a need for the crew to egress or if we need to get a team in to the crew. At the T minus 5-minute mark in the countdown, the swing arm number 9 will come back to the fully retract position and it will then stay in the fully retract position throughout the launch. Once the White Room has been moved back to the 12-degree position, the Launch Escape Tower above the Command Module will be armed. Now standing by for the movement of the swing arm 9, some 5 seconds from this time. T minus 43 minutes and counting, and swing arm 9 should be coming back. Swing arm 9 moving back now to the 12-degree position, it's about some 10 feet now from the spacecraft. We now have word that the Vice-President Spiro Agnew, and the Chancellor of West Germany, Willy Brandt, have arrived at the distinguished guest site. Now at T minus 42 minutes, 31 seconds and counting; this is Kennedy Launch Control.
-00:39:59|P|PAO|This is Apollo Saturn Launch Control; T minus 39 minutes, 57 seconds and counting. At this time the command destruct system tests are now underway with the launch vehicle team. The Launch Escape System above the Command Module has now been armed and that escape system now would be capable of lifting the Command Module free of the launch vehicle should a problem arise. A correction to the last announcement - the Lunar Module Pilot Fred Haise entered the spacecraft at 11:38 am Eastern Standard Time this morning. Our countdown proceeding at this time; T minus 39 minutes, 24 seconds and counting; this is Kennedy Launch Control.
-00:38:55|P|PAO|This is a test on PAO release. Test 1-2-3-4-5 5-4-3-2-1 Test out.
-00:35:00|P|PAO|This is Apollo Saturn Launch Control at T-minus 34 minutes, 58 seconds and counting. At this time, the range safety command checks have just been completed. Preparations are now under way for the power transfer test. This is a critical test to ensure that the power can be transferred from the external source, which we have been using to conserve on batteries, to ensure that the power can be successfully transferred to the batteries aboard the space vehicle and that the systems are Go on those space vehicle batteries. Now at T-minus 34 minutes, 30 seconds and counting; this is Kennedy Launch Control.
-00:30:00|P|PAO|This is Apollo Saturn Launch Control, as we move into the final half hour of our countdown; T minus 29 minutes, 56 seconds and counting. The Brevard Sheriff's Department, Brevard County, Florida has reported that along route 1, the closest major highway to Kennedy Space Center, there are some 100,000 people and 25,000 cars parked watching for the launch of Apollo 13. Along the Indian and Banana Rivers it's reported that the - both rivers are literally filled with boats and spectators standing by to watch the launch. A private airport in Brevard County also reports some 500 private planes have landed and are parked at the airport. Our countdown continuing now - the power transfer test underway - T minus 29 minutes, 13 seconds and counting; this is Kennedy Launch Control.
-00:25:00|P|PAO|This is Apollo Saturn Launch Control; we're at T minus 25 minutes and counting, T minus 25 minutes and counting. And that critical launch vehicle power transfer test has been successfully completed. The Lunar Module will remain on internal power for approximately 10 minutes while the instrumentation aboard the Lunar Module is thoroughly checked out. It will then be deactivated and won't be reactivated again until the men enter the Lunar Module on their trip to the Moon. As the Apollo/Saturn V sits on the pad at this time, it's 214,369 nautical miles [397,011 km] from their destination - from their destination, the Moon. Now T minus 24 minutes, 20 seconds and counting; this is Kennedy Launch Control.
-00:23:12|P|PAO|This is a test on PAO release. Test 1-2-3-4-5 5-4-3-2-1 Test out.
-00:21:57|P|PAO|This is a test on PAO release. Test 1-2-3-4-5 5-4-3-2-1 Test out.
-00:20:00|P|PAO|This is Apollo Saturn Launch Control; T minus 19 minutes, 59 seconds and counting. Now at - passing the 20-minute mark in our countdown and the Spacecraft Test Supervisor has indicated that they are running just slightly ahead of that in their countdown. The Command Module Pilot Jack Swigert is now pressurizing the Service Module Reaction Control System. This is the system on the Service Module which consists of 4 quadrants with 4 engines each. Each one of these develops 100 pounds of thrust. He is arming these systems by letting the hypergolic fuels - these are monomethyl hydrazine and nitrogen tetroxide - flow down through the system, down to the final valves. Hypergolic fuels ignite on contact, so once those final valves are open they would ignite and the system would be activated. Swigert also reading out the temperatures and pressures of that system. The countdown moving along well at this time; T minus 19 minutes, 4 seconds and counting; this is Kennedy Launch Control.
-00:15:00|P|PAO|This is Apollo Saturn Launch Control passing the 15-minute mark; T-minus 14 minutes, 57 seconds and counting. Chilldown of the second stage or S-II stage start tanks is in progress. This is necessary to prepare those start tanks for the flow of the liquid hydrogen and liquid oxygen. The S-II or second stage will ignite at some 2 minutes, 46 seconds into the mission if all goes as planned. The crew has been relatively quiet answering the Spacecraft Test Conductor Skip Chauvin in terse business-like manner as he questions them on certain switches and checks. In the distinguished guest site, the Vice President Spiro Agnew, the Chancellor of West Germany Willie Brandt and a Secretary of State Rogers, all with a large crowd over there awaiting the launch of Apollo 13. Our countdown continuing to go well at this time. The spacecraft is now going to full internal power. Up to this point it's been sharing its power load with the fuel cells aboard the spacecraft with an external power source. Also being carried out at this time is a astrocomm launch circuit check. This is the circuit that is used by the astronauts, the Spacecraft Test Conductor and Launch Operations Manager and the CapCom Stoney or Paul Weitz here during the launch phase of the mission. Now T-minus 13 minutes, 33 seconds and counting; this is Kennedy Launch Control.
-00:10:00|P|PAO|This is Apollo Saturn Launch Control; T minus 9 minutes, 58 seconds and counting. The third stage start tanks are now beginning their chill down. Third stage scheduled to ignite at 9 minutes, 22 seconds into the mission. Also going on at this time is one of the computer checks which are carried out throughout the final portion of the launch. This particular one is a checkout of the Launch Vehicle Digital Computer to ensure that it is ready for launch. A final check of the weather indicates that earlier worries about the weather have come to naught. Weather looks good and is satisfactory; presents no constraint to our launch. Now at T minus 9 minutes, 25 seconds and counting; this is Kennedy Launch Control.
-00:05:31|P|PAO|This is Apollo Saturn Launch Control; T minus 5 minutes, 27 seconds and counting. Now as we move in to the final phase of the countdown, we're receiving Go/No Go checks from various elements of the launch team. The Spacecraft Test Conductor Skip Chauvin gave the test supervisor a spacecraft ready. At that time, on our large status board here in the firing room, the green light came on behind the spacecraft. The green light now is also on behind the Emergency Detection System. Now standing by for more checks. The Mission Director Chet Lee from the Manned Spacecraft Center in Houston says we are Go for launch and the range indicates that the range is ready to support. Chilldown of the S-IVB stage - chilldown of the S-IVB stage being completed at this time. S-IVB will ignite into the mission at 9 minutes, 22 seconds. Swing arm number 9 now is retracting to the full retract position. Swing arm number 9 coming back to the full retract position. And the Director of Launch Operations Walt Kapryan has given Apollo 13 a Go for launch. We're now approaching the four-minute mark. At the T minus 4-minute mark, we'll be standing by for Jack Baltar, the Launch Vehicle Test Conductor, to say that his launch vehicle team is ready to carry out the final phase here of the countdown. At the T minus 3-minute, 7-second mark, we will get the ignition sequence start. This will put us on an automatic sequencer and the remainder of the count from that time will be on automatic. The sequencer can check out literally hundreds of items in the space vehicle. At the same time, the team here in the Launch Control Center will be monitoring redline values. These are such things as temperatures and pressures which we do not want to either go above or below. A final communications check now. The astronauts on the astrocomm circuit and Launch Operations Manager Paul Donnelly, during his final check said, 'Good luck, head for the hills.' He was referring to the Fra Mauro - hilly Fra Mauro region of the Moon. As we come up on the T minus 3-minute mark at 3 minutes, the capsule communicator Paul Weitz will begin reading out the minus time to the crew. Looking up at our status board now, we can see that the spacecraft - or the first stage preparations are now complete. The firing command has now been initiated. This is the automatic sequencer and we have a confirmation on our status board that the launch sequence has started.
-00:02:57|P|PAO|We're now in our final 3 minutes of the countdown. Two minutes, 56 seconds and Apollo 13 continues to be Go. The astronauts still reporting back from the spacecraft Odyssey. Spacecraft commander Jim Lovell says Odyssey is Go. He will be the last one to perform a function here during the countdown. At the T minus 45-second mark, the commander Jim Lovell will set the final alignment of the spacecraft guidance and that's the last crew action before the lift-off of Apollo 13. We continue to aim for a lift-off at 2:13 pm Eastern Standard Time.
-00:02:18|P|PAO|Now T minus 2 minutes, 18 seconds and counting. And our count continues to look good. Our weather is no constraint to launch today. Earlier fears about the weather seem to have dissipated. A stationary front over the Florida-Georgia border has not sent down the predicted bad weather that we had feared. We just passed the two-minute mark - just passed the two-minute mark in the countdown and the pressurization now of the vehicle tanks is beginning.
-00:01:48|P|PAO|The third stage liquid oxygen tank has now been pressurized and the second stage liquid oxygen tank has been pressurized. We'll be making our final transfer from external power source, that is from the external power source at the pad, to the launch vehicle batteries at the T minus 50-second mark. We'll be keeping an eye on that power transfer at T minus 50 seconds. The S-IVB propellants now all pressurized. S-IVB propellants, that's the third stage of the Saturn V, pressurized. One minute, 15 seconds and counting. The spacecraft equipment now is on its own internal cooling. It's been sharing its cooling from - getting its cooling from an external power source up to this time.
-00:01:01|P|PAO|We're now approaching the T minus 1-minute mark. T minus 1 minute; T minus 1 minute and counting. Now in the final minute of our countdown. At the 30-second mark, swing arm number 1 will retract.
-00:00:48|P|PAO|T minus 50 seconds as we pass the T minus 50-second mark, power transfer takes place. First stage, second stage, third stage and the Instrument Unit going to internal power. T minus 37 seconds and our count continues to go well. We'll be looking for an ignition of those five first stage engines at the T minus 8.9-second mark.
-00:00:25|P|PAO|We have passed T minus 30. T minus 25 seconds and counting and Apollo 13 is Go.
-00:00:19|P|PAO|T minus 20 seconds. T minus 20 seconds and counting.
-00:00:15|P|PAO|17 - Guidance Release -
-00:00:13|P|PAO|15, 14, 13, 12, 11, 10, 9, 8, ignition sequence has started.
-00:00:04|P|PAO|6 -
-00:00:03|P|PAO|5, 4, 3, 2, 1, zero.
000:00:01|C|Weitz (LCC)|Lift-off.
000:00:01|P|PAO|We have commit and we have lift-off - at 2:13.
000:00:02|T|CDR|The clock is running.
000:00:03|T|CMP|Okay. P11, Jim.
000:00:05|T|CDR|Yaw program.
000:00:05|P|PAO|The Saturn V building up to 7.6 million pounds of thrust and it has cleared the tower.
000:00:10|C|Range Safety (LCC)|Clear of the tower.
000:00:11|O|CDR|Clear  the tower.
000:00:12|T|CMP|Clear the tower.
000:00:12|P|PAO|This is Mission Control, Houston. We appear to have a good first stage at this point.
000:00:14|T|CDR|Yaw complete. Roll program.
000:00:16|C|Kerwin|Houston, Roger. Roll.
000:00:19|O|CDR|2,000 feet.
000:00:24|P|PAO|Flight Dynamics Officer says the trajectory looks good; we show a one half mile in altitude at this time.
000:00:30|C|Kerwin|13, Houston. Go at 30 seconds.
000:00:32|O|CMP|Okay, you're right on, Jim. You're right on trajectory.
000:00:34|T|CDR|Roll complete, and we're pitching.
000:00:36|C|Kerwin|Roger that. Stand by for Mode I Bravo.
000:00:42|C|Kerwin|Mark. I Bravo.
000:00:44|T|CDR|I Bravo.
000:00:44|T|CMP|RCS command.
000:00:45|P|PAO|Altitude, 1.2 miles; velocity, 1,500 feet per second.
000:00:48|O|CDR|One-and-a-half g's. Okay, high Q coming up.
000:00:55|O|LMP|Cabin's coming down.
000:00:57|O|CDR|Alt is looking good.
000:01:02|O|CMP|Okay, you're right on -
000:01:03|C|Kerwin|13, Houston. Go at 1. We show the cabin relieving.
000:01:05|O|CMP|Yes.
000:01:07|T|CDR|13; Roger.
000:01:07|O|CMP|You're right on, Jim.
