1182756|2|Kerwin questions about crew feeling cold
1184445|2|Lovell wants to know about the reentry procedure
1185650|2|Lovell finds frozen hotdogs
1194433|1|Crossing mid-point between Earth and the Moon
1202227|2|Kerwin reads up preliminary timeline
1204236|2|Kerwin jokes about Deke Slayton
1204600|1|Gold Team (Griffin) relieves Black Team (Lunney)
1205513|1|Brand takes over as CapCom
1210027|2|Change of shift press conference (audio only)
1210402|2|Onboard film of interior of the spacecraft
1215003|2|Armstrong Q&A with press (audio only)
1215055|2|Brand reads up a stowage list
1221804|2|Crew confesses to having removed their bio sensors
1225810|2|Swigert talks about not having moon rock boxes
1231231|2|Haise and Brand joke about the CM being so cold it's snowing
1234545|2|Swigert asks whether John Aaron is on duty
1243838|2|Lovell asks Brand about Ken's measles
1251907|1|Lovell reports they've run out of drinking water
1252754|2|Brand stalls the crew about the reentry checklist
1254028|2|Deke Slayton distracts the crew
1260640|1|Lovell demands time for the crew to learn the new checklist
1261443|2|Ken Mattingly takes over the comm for checklist reading
1273100|1|Maroon Team (Windler) relieves Gold Team (Griffin)
1275144|2|Change of shift press conference (audio only)
1280109|2|Lovell jokes with Mattingly and Slayton
1281632|2|Slayton tells Haise and Lovell to sleep
1282631|2|Brand reads LM Jettison checklist
1285858|2|Lovell woken up by radio chatter
1290826|2|Lovell demands a stop to checklist changes
1294300|2|Long PAO update
1303600|2|Long PAO update
1322845|2|Lousma takes over as CapCom
1323701|2|Swigert tells it’s too cold to sleep
1325250|2|Slayton suggests the crew take stimulants for landing
1332208|2|Lousma tells the crew to start activating LM
1335350|2|Lovell and Lousma joke about Earth getting bigger
1355500|1|White Team (Kranz) relieves Maroon Team (Windler)
1345600|2|Long PAO update
1350235|2|LM navigation restored
1354721|2|Lovell still looking for Fra Mauro
1360459|2|Kerwin takes over as CapCom, course correction PAD
1361045|1|Swigert starts to power up Odyssey
1364643|2|Kerwin teases Lovell
1373950|2|Haise reports on the last course correction
1374738|2|Slayton reminds crew of stimulants
1380206|1|Service Module Jettison
1381500|2|PAO lists guest present in Mission Control
1382406|2|Kerwin teases Lovell
1384029|2|Kerwin reads entry PAD
1395045|2|Odyssey navigation discussed
1400952|2|Odyssey back on internal power
1405239|2|Swigert aligns CM platform
1410222|2|Lovell is last to leave Aquarius
1412833|1|LM Jettison
1414812|2|Kerwin reads final entry PAD
1422228|2|Swigert thanks Mission Control
1423325|2|Swigert teases Kerwin
1423830|2|Welcome home
1423936|1|Re-entering Earth's Atmosphere
1425440|1|Recovering crew from spacecraft
1433800|1|Crew onboard USS Iwo Jima
1435857|2|Paine repeats president's congratulations
1434132|2|Apollo 13 crew arrives on Iwo Jima
1435020|2|Mission plaque hung in mission control
1435738|2|Crew phone call with the president
1440111|2|Italian media reporter
1441008|2|French media reporter
1441425|2|Spanish media reporter
1441859|1|Post-flight press conferences (Paine)
1442129|2|White team press conference
1442610|2|Paine interview
1443646|2|Non-realtime: Medal of freedom presentation in Hawaii (April 18, 1970)
1450606|2|Non-realtime: Post-flight crew press conference
1461026|2|Non-realtime: Investigation press conference (April 21, 1970)
1462717|2|Non-realtime: News clips of public during mission (silent)
1475551|2|Non-realtime: Crew arrival at Elington AFB (silent)
1483653|2|Non-realtime: 25th anniversary commemoration (1995)
1493030|2|Non-realtime: Lovell and Haise Lunar EVA training
1495636|2|Non-realtime: Assembly of Apollo 13's Saturn V
1501111|2|Non-realtime: Altitute chamber test
1501648|2|Non-realtime: Lovell, Mattingly, Haise Lunar EVA training
1503941|2|Non-realtime: Lovell and Haise outdoor Lunar EVA training
1510010|2|Non-realtime: Lovell running on beach
1510741|2|Non-realtime: Apollo 13 press room activities
1511349|2|Non-realtime: Apollo 13 geology training in Hawaii
1513136|2|Non-realtime: "Houston, we've got a problem" vintage NASA documentary
